Total processors available: 24

Testing SIMD SSE Multiplication vs C++ Multiplication
Normal C++ Data:
Array Size,Peak Speed,Average Speed
5000000,0.02185931,0.02321051
SIMD SSE Data:
Array Size,Peak Speed,Average Speed
5000000,0.00353591,0.00385479
Speedup Data (C++ Speed / SIMD SSE Speed):
Array Size,Peak Speedup,Average Speedup
5000000,6.18209362,6.02120638
Normal C++ Data:
Array Size,Peak Speed,Average Speed
8000000,0.03497912,0.03592983
SIMD SSE Data:
Array Size,Peak Speed,Average Speed
8000000,0.00570478,0.00589058
Speedup Data (C++ Speed / SIMD SSE Speed):
Array Size,Peak Speedup,Average Speedup
8000000,6.13154268,6.09954166
Normal C++ Data:
Array Size,Peak Speed,Average Speed
11000000,0.04812963,0.05336094
SIMD SSE Data:
Array Size,Peak Speed,Average Speed
11000000,0.00783139,0.00870486
Speedup Data (C++ Speed / SIMD SSE Speed):
Array Size,Peak Speedup,Average Speedup
11000000,6.14573574,6.13001490
Normal C++ Data:
Array Size,Peak Speed,Average Speed
14000000,0.06112327,0.06300373
SIMD SSE Data:
Array Size,Peak Speed,Average Speed
14000000,0.01011163,0.01017658
Speedup Data (C++ Speed / SIMD SSE Speed):
Array Size,Peak Speedup,Average Speedup
14000000,6.04484797,6.19104958
Normal C++ Data:
Array Size,Peak Speed,Average Speed
17000000,0.07431906,0.07992122
SIMD SSE Data:
Array Size,Peak Speed,Average Speed
17000000,0.01224666,0.01348171
Speedup Data (C++ Speed / SIMD SSE Speed):
Array Size,Peak Speedup,Average Speedup
17000000,6.06851435,5.92812395
Normal C++ Data:
Array Size,Peak Speed,Average Speed
20000000,0.08739280,0.08885438
SIMD SSE Data:
Array Size,Peak Speed,Average Speed
20000000,0.01422440,0.01549679
Speedup Data (C++ Speed / SIMD SSE Speed):
Array Size,Peak Speedup,Average Speedup
20000000,6.14386749,5.73372984
Normal C++ Data:
Array Size,Peak Speed,Average Speed
23000000,0.10036467,0.10240256
SIMD SSE Data:
Array Size,Peak Speed,Average Speed
23000000,0.01658688,0.01669472
Speedup Data (C++ Speed / SIMD SSE Speed):
Array Size,Peak Speedup,Average Speedup
23000000,6.05084848,6.13382816
Normal C++ Data:
Array Size,Peak Speed,Average Speed
26000000,0.11374951,0.11990994
SIMD SSE Data:
Array Size,Peak Speed,Average Speed
26000000,0.01852528,0.01914977
Speedup Data (C++ Speed / SIMD SSE Speed):
Array Size,Peak Speedup,Average Speedup
26000000,6.14023304,6.26168966
Normal C++ Data:
Array Size,Peak Speed,Average Speed
29000000,0.12693228,0.13099828
SIMD SSE Data:
Array Size,Peak Speed,Average Speed
29000000,0.02064655,0.02329999
Speedup Data (C++ Speed / SIMD SSE Speed):
Array Size,Peak Speedup,Average Speedup
29000000,6.14787006,5.62224531
Normal C++ Data:
Array Size,Peak Speed,Average Speed
32000000,0.13824300,0.14190105
SIMD SSE Data:
Array Size,Peak Speed,Average Speed
32000000,0.02260735,0.02632536
Speedup Data (C++ Speed / SIMD SSE Speed):
Array Size,Peak Speedup,Average Speedup
32000000,6.11495972,5.39028025



