Threads,Peak Performance (Mega Loops Per Second),Average Performance (Mega Loops Per Second)
1,388.558298,388.300403
Index,Sum
1086,41255.144531
1087,51238.875000
1088,50556.109375
1089,62941.773438
1090,57409.644531
1091,52626.996094
1092,52467.792969
1093,47548.167969
1094,56391.000000
1095,39753.105469
1096,52624.351562
1097,48670.402344
1098,53473.496094
1099,43338.003906
1100,36602.343750
1101,50293.644531
1102,54396.464844
1103,41660.726562
1104,46598.394531
1105,44780.816406
1106,32880.875000
1107,35890.679688
1108,45049.582031
1109,40738.804688
1110,34653.914062
1111,31068.759766
1112,32227.968750
1113,29314.861328
1114,25900.271484
1115,37648.746094
1116,24107.080078
1117,38902.578125
1118,23827.925781
1119,22803.656250
1120,13841.367188
1121,24998.142578
1122,20057.246094
1123,8742.247070
1124,20001.859375
1125,3088.816895
1126,14437.084961
1127,9433.247070
1128,16125.911133
1129,9389.472656
1130,1025.367310
1131,19963.236328
1132,-10403.617188
1133,-1668.041382
1134,-14315.757812
1135,-993.059265
1136,-6211.280273
1137,-11353.748047
1138,-9557.977539
1139,-2424.286865
1140,-8559.367188
1141,-27258.792969
1142,-12482.569336
1143,-22505.593750
1144,-25743.626953
1145,-22427.152344
1146,-26127.763672
1147,-22922.177734
1148,-22721.642578
1149,-26338.423828
1150,-23739.224609
1151,-31482.875000
1152,-36155.730469
1153,-39347.632812
1154,-25019.501953
1155,-42418.949219
1156,-19149.845703
1157,-35769.453125
1158,-48331.281250
1159,-42815.199219
1160,-41828.003906
1161,-52318.210938
1162,-43447.113281
1163,-30800.701172
1164,-63304.539062
1165,-52637.367188
1166,-46460.503906
1167,-56326.933594
1168,-52345.578125
1169,-60526.128906
1170,-57034.359375
1171,-50772.503906
1172,-55158.957031
1173,-58009.406250
1174,-51720.621094
1175,-53925.195312
1176,-63280.437500
1177,-60935.175781
1178,-52066.863281
1179,-65983.171875
1180,-57582.160156
1181,-55116.382812
1182,-52135.472656
1183,-51932.812500
1184,-56751.562500
1185,-67258.687500
1186,-57146.921875
1187,-56263.941406
1188,-54072.984375
1189,-52444.578125
1190,-46957.734375
1191,-62969.824219
1192,-57989.605469
1193,-50636.546875
1194,-62980.894531
1195,-58001.296875
1196,-56820.625000
1197,-41834.148438
1198,-57653.382812
1199,-47929.152344
1200,-65711.296875
1201,-50249.042969
1202,-55076.417969
1203,-48597.824219
1204,-46250.734375
1205,-55836.996094
1206,-39119.492188
1207,-49045.210938
1208,-49696.457031
1209,-48479.832031
1210,-38811.171875
1211,-46602.222656
1212,-50399.062500
1213,-34232.800781
1214,-44987.167969
1215,-28980.443359
1216,-39041.246094
1217,-37614.707031
1218,-43375.949219
1219,-37866.132812
1220,-33652.074219
1221,-31548.863281
1222,-18293.744141
1223,-35047.738281
1224,-29852.585938
1225,-23303.927734
1226,-23036.125000
1227,-24871.730469
1228,-12583.957031
1229,-15600.634766
1230,-16114.121094
1231,-8811.916992
1232,-7980.791016
1233,-2453.002686
1234,-13583.114258
1235,-18200.808594
1236,-10900.632812
1237,-7196.607422
1238,-9330.850586
1239,-586.157410
1240,13622.199219
1241,7158.380371
1242,-3925.370850
1243,230.566299
1244,11993.278320
1245,9687.752930
1246,4832.015137
1247,19777.656250
1248,174.515442
1249,10867.076172
1250,15155.518555
1251,27576.494141
1252,33260.675781
1253,16943.000000
1254,27902.472656
1255,14673.656250
1256,32376.525391
1257,33602.867188
1258,15815.906250
1259,34587.843750
1260,33592.582031
1261,40071.417969
1262,27953.234375
1263,41780.175781
1264,34402.273438
1265,43735.992188
1266,38402.789062
1267,46929.394531
1268,41672.253906
1269,57441.824219
1270,42388.656250
1271,39474.144531
1272,49329.050781
1273,41402.589844
1274,46706.375000
1275,50269.070312
1276,55781.335938
1277,51702.359375
1278,65059.453125
1279,58677.734375
1280,54881.152344
1281,50475.292969
1282,49167.960938
1283,54139.531250
1284,50027.824219
1285,50269.890625
1286,56466.429688
1287,60401.644531
1288,59054.667969
1289,63380.058594
1290,61789.570312
1291,58872.585938
1292,48355.746094
1293,58621.507812
1294,51146.660156
1295,46865.171875
1296,60239.093750
1297,41867.332031
1298,60346.410156
1299,54884.496094
1300,60074.843750
1301,58486.914062
1302,60611.093750
1303,59059.562500
1304,57321.632812
1305,49318.847656
1306,51825.933594
1307,61793.792969
1308,57956.433594
1309,51481.582031
1310,40853.855469
1311,49562.664062
1312,46281.308594
1313,49962.742188
1314,48781.851562
1315,43721.523438
1316,45959.925781
1317,47376.976562
1318,42061.761719
1319,45131.386719
1320,36443.394531
1321,38420.988281
1322,32668.761719
1323,43161.847656
1324,35549.746094
1325,32264.320312
1326,29844.640625
1327,48642.679688
1328,39124.734375
1329,28589.011719
1330,36510.441406
1331,17510.769531
1332,29208.169922
1333,24770.640625
1334,23004.636719
1335,20403.691406
1336,25441.685547
1337,24395.123047
1338,23055.761719
1339,16424.880859
1340,18734.056641
1341,2311.478027
1342,14803.043945
1343,5286.561523
1344,6188.988281
1345,10066.880859
1346,4009.486572
1347,7353.737793
1348,4816.169922
1349,-8805.062500
1350,1599.291138
1351,-292.520630
1352,7743.822266
1353,-3117.184814
1354,-9091.341797
1355,631.054932
1356,-28942.119141
1357,-14654.411133
1358,-17436.550781
1359,-25232.679688
1360,-21459.332031
1361,-12534.276367
1362,-23183.472656
1363,-27566.525391
1364,-25418.447266
1365,-28535.228516
1366,-22473.308594
1367,-24846.175781
1368,-41475.863281
1369,-30879.257812
1370,-31856.595703
1371,-34543.601562
1372,-38008.894531
1373,-35866.386719
1374,-38128.824219
1375,-39457.199219
1376,-50825.183594
1377,-42232.957031
1378,-44922.179688
1379,-47428.687500
1380,-43322.476562
1381,-38431.605469
1382,-56722.394531
1383,-57427.484375
1384,-61161.707031
1385,-58370.101562
1386,-55628.457031
1387,-49352.582031
1388,-56837.828125
1389,-57537.839844
1390,-59097.121094
1391,-56127.156250
1392,-53868.656250
1393,-49593.929688
1394,-59730.003906
1395,-59168.121094
1396,-43648.191406
1397,-63580.179688
1398,-57097.269531
1399,-58315.394531
1400,-44138.472656
1401,-61559.425781
1402,-58935.058594
1403,-68194.203125
1404,-50846.484375
1405,-61865.753906
1406,-61725.019531
1407,-66572.742188
1408,-54329.363281
1409,-46448.230469
1410,-45868.609375
1411,-55754.945312
1412,-57083.191406
1413,-55393.734375
1414,-54577.660156
1415,-56532.738281
1416,-61023.996094
1417,-54800.429688
1418,-57913.843750
1419,-51051.132812
1420,-48988.265625
1421,-40415.406250
1422,-40956.140625
1423,-53313.917969
1424,-40234.476562
1425,-55683.808594
1426,-53567.402344
1427,-47094.105469
1428,-39258.289062
