Peak Performance (Mega Loops Per Second),Average Performance (Mega Loops Per Second)
1803.031855,1801.559212
Index,Sum
1450,-11.264400
1451,31.915798
1452,16.065001
1453,-22.072500
1454,101.925911
1455,115.952400
1456,48.657600
1457,-13.341600
1458,3.335400
1459,6.594501
1460,-63.767002
1461,66.929001
1462,23.114000
1463,12.776401
1464,29.589300
1465,72.076508
1466,64.467003
1467,1.357200
1468,0.505800
1469,7.811800
1470,-0.222400
1471,0.142400
1472,-15.575000
1473,50.400002
1474,-39.283203
1475,-33.213402
1476,-25.323999
1477,8.059999
1478,-0.124000
1479,-0.602400
1480,-14.683501
1481,1.969500
1482,1.717000
1483,-10.659000
1484,-50.410801
1485,48.239998
1486,-24.360001
1487,-41.290199
1488,80.444702
1489,-4.587800
1490,1.861800
1491,-11.556000
1492,-3.168000
1493,-0.158400
1494,-1.071000
1495,-4.641000
1496,2.628600
1497,25.308701
1498,28.613100
1499,4.572000
1500,-7.908000
1501,-43.230400
1502,-3.608000
1503,1.116500
1504,8.607200
1505,-8.776799
1506,-13.641300
1507,-12.455100
1508,-2.211300
1509,11.384099
1510,5.838000
1511,0.912000
1512,4.681600
1513,3.726800
1514,-6.509800
1515,45.299603
1516,-3.536400
1517,-2.007600
1518,34.129200
1519,5.497800
1520,-2.410100
1521,-3.411700
1522,-8.305800
1523,78.790802
1524,104.227203
1525,-6.249600
1526,3.484400
1527,21.468399
1528,-9.473599
1529,-21.824001
1530,31.855999
1531,-2.208200
1532,-4.812900
1533,-46.235401
1534,50.806202
1535,-50.719501
1536,37.791000
1537,45.026199
1538,-78.761002
1539,56.500000
1540,54.799999
1541,40.990398
1542,7.891400
1543,-6.604300
1544,-29.171600
1545,50.514400
1546,-6.991800
1547,-4.811700
1548,-0.895200
1549,0.288000
1550,-0.024000
1551,0.227200
1552,109.510399
1553,64.587997
1554,-19.764999
1555,12.124500
1556,-27.208200
1557,31.180201
1558,14.412600
1559,27.937799
1560,68.018501
1561,27.862999
1562,-25.394600
1563,-5.024600
1564,0.629000
1565,-4.777000
1566,-19.108000
1567,25.194000
1568,-36.975899
1569,-16.167599
1570,-4.179600
1571,1.522200
1572,0.885000
1573,-8.317500
1574,10.868200
1575,10.260600
1576,107.003403
1577,30.149002
1578,17.641001
1579,-39.527802
1580,50.764801
1581,0.768000
1582,0.024000
1583,-2.589600
1584,29.564600
1585,8.055600
1586,13.494600
1587,52.830902
1588,121.315399
1589,-13.807400
1590,-5.253100
1591,41.543602
1592,4.144000
1593,-1.264000
1594,7.805200
1595,-13.338000
1596,57.186001
1597,101.769897
1598,-52.855000
1599,-10.670000
1600,-9.040400
1601,-14.306199
1602,-7.828500
1603,16.243500
1604,-10.383100
1605,16.674900
1606,49.001698
1607,49.097500
1608,105.472496
1609,-39.616497
1610,-11.126500
1611,6.993801
1612,-20.497402
1613,-40.486603
1614,-12.045601
1615,16.984798
1616,-32.419399
1617,-10.341500
1618,11.782001
1619,-37.428398
1620,-47.058697
1621,31.556198
1622,-1.923600
1623,1.457400
1624,5.413200
1625,13.306799
1626,-72.760895
1627,67.728195
1628,76.065201
1629,61.982597
1630,-19.345299
1631,27.179100
1632,-67.811401
1633,12.159800
1634,-12.176100
1635,-39.889801
1636,-26.593201
1637,-45.467400
1638,69.753197
